contract,date,prev_close,prev_settlement,open,high,low,close,settlement,price_change,settlement_change,volume,turnover,open_interest,Unnamed: 14
al2407,2023-11-24,18685,18675,18680,18740,18675,18735,18710,60,35,351,3284.1375,2297,
al2401,2023-11-27,18775,18760,18750,18945,18680,18905,18845,145,85,204316,1925411.3675,165210,
al2407,2023-11-27,18735,18710,18720,18840,18660,18825,18790,115,80,409,3843,2546,
al2401,2023-11-28,18905,18845,18880,18895,18755,18810,18825,-35,-20,154358,1453145.7225,166915,
al2407,2023-11-28,18825,18790,18800,18800,18665,18695,18735,-95,-55,408,3822.0975,2794,
al2407,2023-11-29,18695,18735,18700,18750,18465,18485,18600,-250,-135,605,5626.6375,3128,
al2401,2023-11-29,18810,18825,18795,18865,18490,18520,18650,-305,-175,250117,2332935.315,187940,
al2401,2023-11-30,18520,18650,18565,18630,18520,18600,18580,-50,-70,152918,1420633.87,176406,
al2407,2023-11-30,18485,18600,18510,18555,18495,18550,18540,-50,-60,474,4394.3825,3498,
al2401,2023-12-01,18600,18580,18545,18625,18500,18530,18555,-50,-25,112038,1039577.6125,175150,
al2407,2023-12-01,18550,18540,18515,18525,18415,18440,18465,-100,-75,234,2160.9275,3657,
al2401,2023-12-04,18530,18555,18545,18765,18530,18595,18645,40,90,135412,1262429.7575,160009,
al2407,2023-12-04,18440,18465,18465,18610,18430,18460,18485,-5,20,267,2468.14,3759,
al2401,2023-12-05,18595,18645,18560,18575,18380,18445,18465,-200,-180,139208,1285537.915,164777,
al2407,2023-12-05,18460,18485,18410,18430,18265,18290,18335,-195,-150,480,4400.96,4086,
al2407,2023-12-06,18290,18335,18245,18300,18185,18290,18250,-45,-85,742,6771.455,4331,
al2401,2023-12-06,18445,18465,18390,18500,18370,18480,18435,15,-30,105083,968664.8425,161904,
al2407,2023-12-07,18290,18250,18265,18300,18190,18250,18250,0,0,197,1798.08,4435,
al2401,2023-12-07,18480,18435,18430,18490,18365,18435,18430,0,-5,88203,812954.95,160084,
al2401,2023-12-08,18435,18430,18410,18525,18305,18490,18410,60,-20,123776,1139456.3,152647,
al2407,2023-12-08,18250,18250,18205,18365,18145,18335,18310,85,60,1110,10164.6925,5265,
al2401,2023-12-11,18490,18410,18470,18530,18240,18380,18355,-30,-55,133912,1228992.195,154700,
al2407,2023-12-11,18335,18310,18350,18375,18145,18240,18190,-70,-120,672,6112.5775,5807,
al2401,2023-12-12,18380,18355,18360,18475,18335,18430,18405,75,50,91352,840785.1375,152418,
al2407,2023-12-12,18240,18190,18205,18275,18135,18235,18210,45,20,501,4562.56,6097,
al2401,2023-12-13,18430,18405,18435,18485,18300,18325,18400,-80,-5,106067,975862.2825,155254,
al2407,2023-12-13,18235,18210,18250,18250,18125,18135,18170,-75,-40,176,1599.0225,6141,
al2401,2023-12-14,18325,18400,18385,18675,18380,18650,18565,250,165,157302,1460383.3475,137623,
al2407,2023-12-14,18135,18170,18195,18355,18155,18340,18270,170,100,239,2183.39,6105,
al2407,2023-12-15,18340,18270,18340,18565,18340,18500,18470,230,200,191,1764.0175,6016,
al2401,2023-12-15,18650,18565,18720,18800,18700,18740,18740,175,175,124760,1169258.0675,128089,
al2401,2023-12-18,18740,18740,18860,18950,18775,18910,18865,170,125,123332,1163468.85,122781,
al2407,2023-12-18,18500,18470,18565,18755,18565,18730,18675,260,205,161,1503.375,5990,
al2401,2023-12-19,18910,18865,18950,19015,18885,18990,18935,125,70,100195,948825.655,107015,
al2407,2023-12-19,18730,18675,18740,18880,18740,18850,18800,175,125,253,2378.3425,5979,
al2401,2023-12-20,18990,18935,18965,19065,18900,19045,18965,110,30,68585,650423.8425,92516,
al2407,2023-12-20,18850,18800,18820,18920,18760,18895,18855,95,55,238,2243.79,6002,
al2401,2023-12-21,19045,18965,19000,19035,18920,19035,18970,70,5,47251,448229.855,86873,
al2407,2023-12-21,18895,18855,18815,18900,18790,18895,18840,40,-15,126,1187.15,6000,
al2407,2023-12-22,18895,18840,18895,19130,18855,19100,18935,260,95,1238,11723.525,6007,
al2401,2023-12-22,19035,18970,18980,19275,18980,19210,19140,240,170,50703,485300.2,80416,
al2401,2023-12-25,19210,19140,19285,19425,19070,19140,19235,0,95,56575,544176.2325,74322,
al2407,2023-12-25,19100,18935,19100,19250,18920,19055,19120,120,185,894,8548.655,6137,
al2401,2023-12-26,19140,19235,19140,19330,19130,19275,19215,40,-20,21974,211157.1475,65568,
al2407,2023-12-26,19055,19120,19025,19165,18970,19140,19040,20,-80,216,2056.8125,6186,
al2401,2023-12-27,19275,19215,19295,19390,19240,19380,19310,165,95,20546,198403.405,59738,
